Index,Date,Instrument,Total Return
533,2016,CFR.N,-12.44008114
534,2017,CFR.N,52.00851891
535,2018,CFR.N,9.924468137
536,2019,CFR.N,-4.844029989
537,2020,CFR.N,14.59682028
538,2021,CFR.N,-7.52066835
539,2022,CFR.N,48.19090482
540,2023,CFR.N,8.6173359
541,2024,CFR.N,-16.06082811
542,2013,CHCO.OQ,7.049472696
543,2014,CHCO.OQ,37.90638696
544,2015,CHCO.OQ,4.113852338
545,2016,CHCO.OQ,1.579359677
546,2017,CHCO.OQ,53.65377495
547,2018,CHCO.OQ,2.4378425
548,2019,CHCO.OQ,2.854801748
549,2020,CHCO.OQ,24.80775157
550,2021,CHCO.OQ,-12.15244247
551,2022,CHCO.OQ,21.25493013
552,2023,CHCO.OQ,17.23370862
553,2024,CHCO.OQ,21.90771126
554,2013,CHMG.O,37.01651522
555,2014,CHMG.O,18.03095684
556,2015,CHMG.O,-16.04287256
557,2016,CHMG.O,2.313384682
558,2017,CHMG.O,36.81545453
559,2018,CHMG.O,35.64279722
560,2019,CHMG.O,-12.10979759
561,2020,CHMG.O,5.259128907
562,2021,CHMG.O,-17.26593181
563,2022,CHMG.O,40.61255268
564,2023,CHMG.O,1.596312864
565,2024,CHMG.O,11.74086834
566,2013,CIVB.OQ,37.9525984
567,2014,CIVB.OQ,22.37123332
568,2015,CIVB.OQ,61.4747883
569,2016,CIVB.OQ,26.99724732
570,2017,CIVB.OQ,54.12911033
571,2018,CIVB.OQ,14.54513265
572,2019,CIVB.OQ,-19.737578
573,2020,CIVB.OQ,40.53269862
574,2021,CIVB.OQ,-24.85037314
575,2022,CIVB.OQ,42.49525067
576,2023,CIVB.OQ,-7.528414376
577,2024,CIVB.OQ,-13.13811893
578,2013,CIZnv.OQ^J24,NaN
579,2014,CIZnv.OQ^J24,NaN
580,2015,CIZnv.OQ^J24,0.672514618
581,2016,CIZnv.OQ^J24,-7.115887307
582,2017,CIZnv.OQ^J24,-11.4138696
583,2018,CIZnv.OQ^J24,21.04395687
584,2019,CIZnv.OQ^J24,-10.33576642
585,2020,CIZnv.OQ^J24,8.987300554
586,2021,CIZnv.OQ^J24,-18.7331939
587,2022,CIZnv.OQ^J24,NaN
588,2023,CIZnv.OQ^J24,NaN
589,2024,CIZnv.OQ^J24,2.585894258
590,2013,CLBK.O,NaN
591,2014,CLBK.O,NaN
592,2015,CLBK.O,NaN
593,2016,CLBK.O,NaN
594,2017,CLBK.O,NaN
595,2018,CLBK.O,NaN
596,2019,CLBK.O,-0.843060958
597,2020,CLBK.O,10.79136691
598,2021,CLBK.O,-8.146399057
599,2022,CLBK.O,34.06169666
600,2023,CLBK.O,3.643336533
601,2024,CLBK.O,-10.82331174
602,2013,CMA.N,19.74159348
603,2014,CMA.N,59.39469915
604,2015,CMA.N,0.129638392
605,2016,CMA.N,-9.036166269
606,2017,CMA.N,65.94508748
607,2018,CMA.N,29.33901592
608,2019,CMA.N,-19.14209449
609,2020,CMA.N,8.420543222
610,2021,CMA.N,-16.83629083
611,2022,CMA.N,61.52706117
612,2023,CMA.N,-20.39436596
613,2024,CMA.N,-11.20381712
614,2013,CNOB.OQ,20.37950652
615,2014,CNOB.OQ,65.23868283
616,2015,CNOB.OQ,2.913777892
617,2016,CNOB.OQ,-0.094235203
618,2017,CNOB.OQ,41.29270105
619,2018,CNOB.OQ,0.471080232
620,2019,CNOB.OQ,-27.43292374
621,2020,CNOB.OQ,41.52285191
622,2021,CNOB.OQ,-21.40712988
623,2022,CNOB.OQ,67.85180352
624,2023,CNOB.OQ,-24.38274212
625,2024,CNOB.OQ,-1.896919594
626,2013,COFS.OQ,NaN
627,2014,COFS.OQ,NaN
628,2015,COFS.OQ,NaN
629,2016,COFS.OQ,NaN
